DATA;DATA_TS;RES65;PM10;so2;co;o3;no2
19 de jul de 97;1997-07-19;12;74,961;15,515;5,57;50,4;104,833
20 de jul de 97;1997-07-20;10;97,178;17,125;7,5229;39,147;103,375
21 de jul de 97;1997-07-21;13;59,059;13,44;3,7686;14,33;87,123
22 de jul de 97;1997-07-22;12;57,236;18,495;3,51;39,908;110,227
23 de jul de 97;1997-07-23;12;56,497;15,4467;3,05;40,873;83,377
24 de jul de 97;1997-07-24;13;46,959;14,8167;2,1271;34,317;76,888
25 de jul de 97;1997-07-25;11;51,331;16,29;2,2857;61,033;89,534
26 de jul de 97;1997-07-26;12;53,974;11,055;1,9814;96,51;103,272
27 de jul de 97;1997-07-27;12;82,355;15,4683;4,5957;95,445;175,628
28 de jul de 97;1997-07-28;17;132,24;34,9633;7,78;75,692;218,022
29 de jul de 97;1997-07-29;13;145,888;31,7367;8,3971;65,947;241,665
30 de jul de 97;1997-07-30;14;121,795;28,7183;7,9186;46,703;261,512
31 de jul de 97;1997-07-31;11;103,952;27,2633;6,7429;56,825;162,868
1 de ago de 97;1997-08-01;14;147,259;31,5467;8,0329;62,283;244,417
2 de ago de 97;1997-08-02;14;148,15;25,4667;9,4543;85,143;240,343
3 de ago de 97;1997-08-03;13;106,487;18,8667;3,6814;44,676;125,113
4 de ago de 97;1997-08-04;13;59,158;17,5067;3,6333;26,1;114,758
5 de ago de 97;1997-08-05;8;26,879;6,3267;2,0343;20,1;70,467
6 de ago de 97;1997-08-06;9;49,602;12,9017;2,3757;48,688;114,278
7 de ago de 97;1997-08-07;10;72,233;19,8567;5,2057;46,986;138,953
8 de ago de 97;1997-08-08;11;30,158;4,884;4,4971;24,7;70,853
9 de ago de 97;1997-08-09;10;26,222;3,346;1,6071;31,588;63,092
10 de ago de 97;1997-08-10;12;32,48;8,274;1,67;37,992;61,348
11 de ago de 97;1997-08-11;12;55,688;16,038;3,43;78,6;192,358
12 de ago de 97;1997-08-12;15;91,812;20,834;4,6043;83,182;239,195
13 de ago de 97;1997-08-13;18;86,09;16,6;4,0529;110,302;174,798
14 de ago de 97;1997-08-14;13;84,432;20,652;3,785;91,383;179,497
15 de ago de 97;1997-08-15;18;111,227;29,85;8,1867;72,166;212,593
16 de ago de 97;1997-08-16;9;121,726;32,836;10,1414;73,994;170,458
17 de ago de 97;1997-08-17;16;123,306;28,0075;11,4429;74,453;181,198
18 de ago de 97;1997-08-18;7;99,497;24,135;6,8429;56,038;155,752
19 de ago de 97;1997-08-19;8;97,834;22,6425;6,9486;61,26;167,905
20 de ago de 97;1997-08-20;16;102,022;16,425;7,1114;52,225;152,728
21 de ago de 97;1997-08-21;10;95,109;11,33;3,9829;31,052;155,172
22 de ago de 97;1997-08-22;13;92,098;16,456;3,8857;94,108;191,698
23 de ago de 97;1997-08-23;13;52,441;7,104;3,8117;27,792;108,383
24 de ago de 97;1997-08-24;13;29,449;5,382;3,7467;23,68;71,907
25 de ago de 97;1997-08-25;16;40,437;12,248;2,0786;43,222;95,76
26 de ago de 97;1997-08-26;12;52,875;13,856;2,4786;69,293;131,63
27 de ago de 97;1997-08-27;7;77,113;21,498;3,68;102,342;167,585
28 de ago de 97;1997-08-28;14;95,22;31,822;4,4586;81,238;164,228
29 de ago de 97;1997-08-29;9;107,661;30,5083;4,4414;126,477;219,08
30 de ago de 97;1997-08-30;9;110,963;21,465;4,0586;143,262;215,895
31 de ago de 97;1997-08-31;10;90,646;14,6983;4,8214;112,105;159,34
